date,logger3,logger4,logger6,logger7,logger8,logger9,logger10,logger11,logger12,logger13,logger14,logger15
20151107,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151108,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151109,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151110,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151111,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151112,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151113,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151114,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151115,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151116,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151117,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151118,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151119,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151120,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151121,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151122,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151123,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151124,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151125,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151126,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151127,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151128,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151129,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151130,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151201,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151202,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151203,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151204,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151205,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151206,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151207,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151208,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151209,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151210,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151211,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151212,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151213,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151214,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151215,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151216,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151217,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151218,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151219,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151220,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151221,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151222,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151223,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151224,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151225,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151226,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151227,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151228,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151229,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151230,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20151231,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160101,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160102,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160103,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160104,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160105,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160106,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160107,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160108,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160109,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160110,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160111,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160112,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160113,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160114,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160115,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160116,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160117,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160118,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160119,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160120,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160121,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160122,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160123,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160124,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160125,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160126,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160127,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160128,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160129,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160130,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160131,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160201,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160202,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160203,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160204,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160205,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160206,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160207,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160208,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160209,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160210,1325,7914,1330,0,7321,7308,1328,7301,1321,1005,7305,7305
20160211,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160212,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160213,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160214,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160215,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160216,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160217,1325,7914,1330,7444,7321,7308,1328,7301,1321,1005,7305,7305
20160218,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160219,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160220,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160221,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160222,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160223,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160224,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160225,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160226,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160227,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160228,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160229,0,7914,1330,7444,7321,7308,1328,7301,1321,1005,1325,7305
20160301,1328,7914,1330,7444,7321,7308,0,7301,1321,1005,1325,7305
20160302,1328,7914,1330,7444,7321,7308,0,7301,1321,1005,1325,7305
